iter	Passed	Remaining
0	120	120735
1	121	60749
2	122	40751
3	123	30739
4	124	24730
5	125	20726
6	126	17938
7	127	15791
8	128	14115
9	129	12772
10	129	11671
11	130	10756
12	131	9981
13	132	9316
14	133	8740
15	133	8237
16	134	7799
17	135	7405
18	136	7053
19	137	6734
20	138	6445
21	139	6184
22	140	5948
23	141	5735
24	141	5533
25	142	5345
26	143	5171
27	144	5009
28	145	4859
29	145	4719
30	146	4588
31	147	4464
32	148	4348
33	149	4238
34	149	4135
35	150	4038
36	151	3945
37	152	3858
38	153	3775
39	154	3699
40	154	3624
41	155	3552
42	156	3486
43	157	3420
44	158	3357
45	159	3298
46	159	3240
47	160	3186
48	161	3133
49	162	3083
50	163	3035
51	163	2988
52	164	2943
53	165	2899
54	166	2857
55	167	2817
56	168	2780
57	168	2743
58	169	2709
59	170	2674
60	171	2642
61	172	2609
62	173	2577
63	174	2546
64	174	2515
65	175	2486
66	176	2457
67	177	2430
68	178	2403
69	178	2377
70	179	2351
71	180	2326
72	181	2302
73	182	2278
74	182	2256
75	183	2234
76	184	2213
77	185	2191
78	186	2170
79	186	2150
80	187	2130
81	188	2110
82	188	2088
83	189	2069
84	190	2052
85	191	2034
86	192	2017
87	193	2000
88	193	1983
89	194	1967
90	195	1951
91	196	1936
92	196	1920
93	197	1907
94	198	1895
95	199	1881
96	200	1868
97	201	1854
98	202	1842
99	203	1830
100	204	1817
101	204	1804
102	205	1792
103	206	1779
104	207	1767
105	208	1755
106	209	1744
107	209	1733
108	210	1721
109	211	1710
110	212	1700
111	213	1694
112	214	1684
113	215	1674
114	216	1665
115	217	1655
116	217	1644
117	218	1634
118	219	1624
119	220	1615
120	221	1606
121	221	1595
122	222	1586
123	223	1578
124	224	1570
125	225	1562
126	225	1552
127	226	1543
128	227	1536
129	228	1529
130	229	1521
131	230	1514
132	231	1506
133	231	1498
134	232	1491
135	233	1483
136	234	1475
137	235	1469
138	236	1461
139	236	1454
140	237	1447
141	238	1439
142	238	1432
143	239	1425
144	240	1418
145	241	1411
146	242	1405
147	243	1399
148	243	1393
149	244	1386
150	245	1380
151	246	1374
152	247	1368
153	248	1362
154	248	1356
155	249	1350
156	250	1344
157	251	1338
158	252	1333
159	252	1327
160	253	1320
161	254	1314
162	254	1309
163	255	1303
164	256	1298
165	257	1294
166	258	1289
167	259	1285
168	260	1280
169	261	1275
170	262	1270
171	262	1265
172	263	1260
173	264	1255
174	265	1250
175	266	1246
176	266	1241
177	267	1236
178	268	1232
179	269	1228
180	270	1223
181	271	1218
182	272	1215
183	273	1211
184	274	1207
185	275	1204
186	276	1202
187	277	1199
188	278	1195
189	279	1192
190	280	1188
191	281	1185
192	282	1181
193	283	1178
194	284	1175
195	285	1172
196	286	1168
197	287	1165
198	289	1163
199	290	1160
200	291	1157
201	292	1153
202	293	1150
203	294	1147
204	295	1144
205	296	1140
206	296	1137
207	297	1133
208	298	1130
209	299	1127
210	300	1123
211	301	1120
212	302	1116
213	303	1113
214	304	1110
215	305	1108
216	306	1104
217	306	1101
218	307	1097
219	308	1094
220	309	1091
221	310	1088
222	311	1085
223	312	1083
224	313	1079
225	314	1076
226	315	1073
227	315	1069
228	316	1066
229	317	1063
230	318	1061
231	319	1058
232	320	1055
233	321	1052
234	322	1049
235	323	1047
236	324	1044
237	325	1041
238	325	1037
239	326	1034
240	327	1031
241	328	1028
242	329	1025
243	330	1022
244	330	1019
245	331	1016
246	332	1013
247	333	1011
248	334	1008
249	335	1005
250	335	1002
251	336	999
252	337	996
253	338	993
254	339	990
255	340	988
256	340	985
257	341	982
258	342	979
259	343	977
260	344	974
261	345	971
262	345	969
263	346	966
264	347	964
265	348	961
266	349	958
267	350	956
268	350	953
269	351	950
270	352	948
271	353	946
272	354	943
273	355	941
274	356	938
275	356	936
276	357	933
277	358	931
278	359	928
279	360	926
280	361	923
281	361	921
282	362	919
283	363	916
284	364	914
285	365	912
286	366	909
287	367	907
288	368	905
289	369	903
290	369	901
291	370	898
292	371	896
293	372	894
294	373	892
295	374	890
296	375	888
297	376	886
298	377	884
299	378	883
300	379	881
301	380	879
302	381	877
303	382	874
304	382	872
305	383	870
306	384	867
307	385	865
308	386	863
309	387	861
310	387	859
311	388	857
312	389	854
313	390	852
314	391	850
315	392	849
316	393	847
317	394	845
318	395	843
319	395	841
320	396	839
321	397	837
322	398	835
323	399	833
324	400	831
325	401	829
326	401	827
327	402	825
328	403	823
329	404	820
330	405	819
331	406	816
332	406	815
333	408	813
334	409	811
335	409	810
336	410	808
337	411	806
338	412	804
339	413	802
340	414	800
341	415	799
342	416	797
343	416	795
344	417	793
345	418	791
346	419	789
347	420	787
348	420	785
349	421	783
350	422	782
351	423	780
352	424	778
353	425	776
354	426	774
355	427	773
356	428	771
357	429	769
358	429	767
359	430	765
360	431	763
361	432	761
362	433	759
363	433	758
364	434	756
365	435	754
366	436	752
367	437	750
368	438	749
369	439	747
370	439	745
371	440	744
372	441	742
373	442	740
374	443	739
375	444	737
376	445	735
377	445	733
378	446	731
379	447	729
380	448	728
381	448	726
382	449	724
383	450	722
384	451	721
385	452	719
386	453	718
387	454	716
388	455	714
389	455	713
390	456	711
391	457	709
392	458	707
393	459	706
394	459	704
395	460	702
396	461	700
397	462	699
398	463	697
399	463	695
400	464	694
401	465	692
402	466	690
403	467	689
404	467	687
405	468	685
406	469	684
407	470	682
408	471	680
409	471	678
410	472	677
411	473	676
412	474	674
413	475	672
414	476	671
415	476	669
416	477	667
417	478	666
418	479	664
419	480	662
420	480	661
421	481	659
422	482	658
423	483	656
424	484	655
425	485	653
426	485	652
427	486	650
428	487	649
429	488	647
430	489	646
431	490	644
432	491	643
433	491	641
434	492	639
435	493	638
436	494	636
437	495	635
438	495	633
439	496	632
440	497	630
441	498	629
442	499	628
443	500	626
444	501	625
445	502	623
446	503	622
447	504	621
448	505	619
449	506	618
450	506	617
451	507	615
452	508	614
453	509	612
454	510	611
455	511	609
456	512	608
457	512	607
458	513	605
459	514	604
460	515	602
461	516	601
462	517	599
463	517	598
464	518	596
465	519	595
466	520	594
467	521	592
468	522	591
469	523	589
470	523	588
471	524	586
472	525	585
473	526	584
474	527	583
475	528	582
476	529	580
477	530	579
478	531	578
479	532	577
480	533	575
481	534	574
482	535	573
483	536	571
484	537	570
485	537	568
486	538	567
487	539	566
488	540	564
489	541	563
490	542	562
491	543	560
492	544	559
493	544	558
494	545	556
495	546	555
496	547	553
497	548	552
498	549	551
499	549	549
500	550	548
501	551	547
502	552	545
503	553	544
504	554	543
505	554	541
506	555	540
507	556	538
508	557	537
509	558	536
510	559	535
511	560	533
512	560	532
513	561	531
514	562	529
515	563	528
516	564	527
517	565	525
518	565	524
519	566	523
520	567	521
521	568	520
522	568	518
523	569	517
524	570	516
525	571	514
526	572	513
527	573	512
528	574	511
529	574	509
530	575	508
531	576	507
532	577	505
533	578	504
534	579	503
535	579	501
536	580	500
537	581	499
538	582	497
539	583	496
540	583	495
541	584	494
542	585	492
543	586	491
544	587	490
545	587	488
546	588	487
547	589	486
548	590	484
549	591	483
550	591	482
551	592	481
552	593	479
553	594	478
554	595	477
555	595	475
556	596	474
557	597	473
558	598	471
559	598	470
560	599	469
561	600	468
562	601	466
563	602	465
564	603	464
565	604	463
566	604	461
567	605	460
568	606	459
569	607	458
570	607	456
571	608	455
572	609	454
573	610	453
574	611	451
575	612	450
576	612	449
577	613	448
578	614	446
579	615	445
580	616	444
581	617	443
582	617	441
583	618	440
584	619	439
585	620	438
586	621	436
587	621	435
588	622	434
589	623	433
590	624	432
591	625	430
592	625	429
593	626	428
594	627	427
595	628	425
596	628	424
597	629	423
598	630	422
599	631	420
600	632	419
601	632	418
602	633	417
603	634	416
604	635	414
605	636	413
606	637	412
607	637	411
608	638	410
609	639	408
610	640	407
611	640	406
612	641	405
613	642	403
614	643	402
615	644	401
616	645	400
617	645	399
618	646	398
619	647	396
620	648	395
621	649	394
622	650	393
623	651	392
624	651	391
625	652	389
626	653	388
627	654	387
628	655	386
629	655	385
630	656	384
631	657	382
632	658	381
633	659	380
634	660	379
635	660	378
636	661	377
637	662	375
638	663	374
639	664	373
640	665	372
641	666	371
642	666	370
643	667	369
644	668	367
645	669	366
646	669	365
647	670	364
648	671	363
649	672	362
650	673	360
651	674	359
652	674	358
653	675	357
654	676	356
655	677	355
656	678	354
657	679	353
658	680	351
659	680	350
660	681	349
661	682	348
662	683	347
663	684	346
664	685	345
665	685	343
666	686	342
667	687	341
668	688	340
669	689	339
670	690	338
671	690	337
672	691	336
673	692	335
674	693	333
675	694	332
676	695	331
677	696	330
678	697	329
679	698	328
680	698	327
681	699	326
682	700	325
683	701	324
684	702	322
685	702	321
686	703	320
687	704	319
688	705	318
689	706	317
690	707	316
691	708	315
692	709	314
693	709	312
694	710	311
695	711	310
696	712	309
697	713	308
698	713	307
699	714	306
700	715	305
701	716	304
702	717	302
703	717	301
704	718	300
705	719	299
706	720	298
707	721	297
708	722	296
709	722	295
710	723	294
711	724	293
712	725	291
713	726	290
714	727	289
715	727	288
716	728	287
717	729	286
718	730	285
719	731	284
720	732	283
721	732	282
722	733	281
723	734	280
724	735	278
725	736	277
726	737	276
727	738	275
728	739	274
729	740	273
730	740	272
731	741	271
732	742	270
733	743	269
734	744	268
735	745	267
736	745	266
737	746	265
738	747	263
739	748	262
740	748	261
741	749	260
742	750	259
743	751	258
744	752	257
745	753	256
746	754	255
747	755	254
748	756	253
749	756	252
750	757	251
751	758	250
752	759	249
753	760	247
754	760	246
755	761	245
756	762	244
757	763	243
758	764	242
759	764	241
760	765	240
761	766	239
762	767	238
763	768	237
764	768	236
765	769	235
766	770	234
767	771	233
768	772	231
769	772	230
770	773	229
771	774	228
772	775	227
773	776	226
774	776	225
775	777	224
776	778	223
777	779	222
778	780	221
779	780	220
780	781	219
781	782	218
782	783	217
783	784	216
784	784	214
785	785	213
786	786	212
787	787	211
788	788	210
789	788	209
790	789	208
791	790	207
792	791	206
793	792	205
794	792	204
795	793	203
796	794	202
797	795	201
798	796	200
799	797	199
800	797	198
801	798	197
802	799	196
803	800	195
804	801	194
805	801	192
806	802	191
807	803	190
808	804	189
809	804	188
810	805	187
811	806	186
812	807	185
813	808	184
814	808	183
815	809	182
816	810	181
817	811	180
818	812	179
819	813	178
820	813	177
821	814	176
822	815	175
823	816	174
824	817	173
825	817	172
826	818	171
827	819	170
828	820	169
829	821	168
830	822	167
831	822	166
832	823	165
833	824	164
834	825	163
835	826	162
836	827	161
837	827	160
838	828	159
839	829	158
840	830	156
841	831	155
842	831	154
843	832	153
844	833	152
845	834	151
846	835	150
847	836	149
848	836	148
849	837	147
850	838	146
851	839	145
852	840	144
853	840	143
854	841	142
855	842	141
856	843	140
857	844	139
858	844	138
859	845	137
860	846	136
861	847	135
862	848	134
863	849	133
864	849	132
865	850	131
866	851	130
867	852	129
868	853	128
869	853	127
870	854	126
871	855	125
872	856	124
873	857	123
874	858	122
875	858	121
876	859	120
877	860	119
878	861	118
879	862	117
880	862	116
881	863	115
882	864	114
883	865	113
884	865	112
885	866	111
886	867	110
887	868	109
888	869	108
889	869	107
890	870	106
891	871	105
892	872	104
893	873	103
894	874	102
895	874	101
896	875	100
897	876	99
898	877	98
899	878	97
900	878	96
901	879	95
902	880	94
903	881	93
904	882	92
905	882	91
906	883	90
907	884	89
908	885	88
909	886	87
910	886	86
911	887	85
912	888	84
913	889	83
914	890	82
915	891	81
916	892	80
917	893	79
918	893	78
919	894	77
920	895	76
921	896	75
922	897	74
923	897	73
924	898	72
925	899	71
926	900	70
927	901	69
928	902	68
929	902	67
930	903	66
931	904	65
932	905	65
933	906	64
934	906	63
935	907	62
936	908	61
937	909	60
938	910	59
939	910	58
940	911	57
941	912	56
942	913	55
943	914	54
944	914	53
945	915	52
946	916	51
947	917	50
948	918	49
949	919	48
950	919	47
951	920	46
952	921	45
953	922	44
954	923	43
955	923	42
956	924	41
957	925	40
958	926	39
959	927	38
960	927	37
961	928	36
962	929	35
963	930	34
964	931	33
965	932	32
966	933	31
967	933	30
968	934	29
969	935	28
970	936	27
971	937	26
972	937	26
973	938	25
974	939	24
975	940	23
976	941	22
977	942	21
978	942	20
979	943	19
980	944	18
981	945	17
982	946	16
983	947	15
984	947	14
985	948	13
986	949	12
987	950	11
988	951	10
989	951	9
990	952	8
991	953	7
992	954	6
993	955	5
994	955	4
995	956	3
996	957	2
997	958	1
998	959	0
999	959	0
